Date,Open,High,Low,Close,Volume,adj_close,shares
2010-06-30,73.52,74.71,72.22,72.38,1153100,72.38,vw
2010-07-01,71.5,71.7,69.97,69.97,1475200,69.97,vw
2010-07-02,71,71.5,70,70.07,704100,70.07,vw
2010-07-05,70.47,70.85,69.81,70,387500,70,vw
2010-07-06,70.59,71.97,70.59,71.38,665800,71.38,vw
2010-07-07,70.45,71.65,70.06,71.24,767100,71.24,vw
2010-07-08,71.63,71.97,70.85,71.25,756300,71.25,vw
2010-07-09,71.25,72.44,70.92,72.12,535700,72.12,vw
2010-07-12,72.69,73.87,72.5,73.22,852200,73.22,vw
2010-07-13,73.44,77.04,73.44,77,1475200,77,vw
2010-07-14,77.4,77.4,75.85,77.3,900300,77.3,vw
2010-07-15,76.6,77.9,75.23,75.82,931100,75.82,vw
2010-07-16,75.99,77.21,74.18,76,1099100,76,vw
2010-07-19,76,76.33,74.05,74.63,756800,74.63,vw
2010-07-20,74.9,75.48,73.79,74.19,661000,74.19,vw
2010-07-21,74.82,76.76,74.27,75.46,810300,75.46,vw
2010-07-22,75.34,78.9,75.2,78.72,1442700,78.72,vw
2010-07-23,78.62,79.39,77.61,79.27,934700,79.27,vw
2010-07-26,79.4,79.95,78.96,79.95,597900,79.95,vw
2010-07-27,79.9,80,78.32,78.69,842100,78.69,vw
2010-07-28,78.52,79.35,76.43,78.59,873000,78.59,vw
2010-07-29,78.58,81.75,77.55,80.99,2518300,80.99,vw
2010-07-30,81.66,81.75,80.18,81.31,1232500,81.31,vw
2010-08-02,81.75,84.88,81.12,84.5,1820900,84.5,vw
2010-08-03,84.25,85.16,81.77,83.32,1182300,83.32,vw
2010-08-04,83.38,83.42,80.9,81.88,1031200,81.88,vw
2010-08-05,81.95,82.72,81.02,81.5,882500,81.5,vw
2010-08-06,81.84,82.19,79.62,79.75,916300,79.75,vw
2010-08-09,81.4,81.4,80.08,80.37,815300,80.37,vw
2010-08-10,80.5,80.5,79.16,79.97,783500,79.97,vw
2010-08-11,79.95,80.69,77.93,78.07,926300,78.07,vw
2010-08-12,78.2,78.4,76.73,77.93,1080900,77.93,vw
2010-08-13,78.12,78.66,76.23,77.02,820600,77.02,vw
2010-08-16,77.22,78.4,76.7,77.6,429700,77.6,vw
2010-08-17,78,78.95,77.9,78.6,628100,78.6,vw
2010-08-18,78.6,79.17,77.05,78.03,857500,78.03,vw
2010-08-19,78.76,79.9,77.92,78.58,786000,78.58,vw
2010-08-20,78.48,79.16,77.66,78.86,783700,78.86,vw
2010-08-23,79.13,80,78.65,79.89,690700,79.89,vw
2010-08-24,79.49,79.74,78,79.08,774400,79.08,vw
2010-08-25,78.66,78.94,76.16,77.6,880500,77.6,vw
2010-08-26,78.17,79.93,77.75,79.21,689500,79.21,vw
2010-08-27,79,79.3,77.15,79.02,885300,79.02,vw
2010-08-30,78.99,79.39,77.5,78.12,380600,78.12,vw
